ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-15T07:20:00,2026-08-15T12:20:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:21:00,2026-08-15T12:21:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:22:00,2026-08-15T12:22:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:23:00,2026-08-15T12:23:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:24:00,2026-08-15T12:24:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:25:00,2026-08-15T12:25:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:26:00,2026-08-15T12:26:00.004Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:27:00,2026-08-15T12:27:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:28:00,2026-08-15T12:28:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:29:00,2026-08-15T12:29:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:30:00,2026-08-15T12:30:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:31:00,2026-08-15T12:31:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:32:00,2026-08-15T12:32:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:33:00,2026-08-15T12:33:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:34:00,2026-08-15T12:34:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:35:00,2026-08-15T12:35:00.027Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:36:00,2026-08-15T12:36:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:37:00,2026-08-15T12:37:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:38:00,2026-08-15T12:38:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:39:00,2026-08-15T12:39:00.030Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:40:00,2026-08-15T12:40:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:41:00,2026-08-15T12:41:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:42:00,2026-08-15T12:42:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:43:00,2026-08-15T12:43:00.013Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:44:00,2026-08-15T12:44:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:45:00,2026-08-15T12:45:00.013Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:46:00,2026-08-15T12:46:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:47:00,2026-08-15T12:47:00.024Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:48:00,2026-08-15T12:48:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:49:00,2026-08-15T12:49:00.029Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:50:00,2026-08-15T12:50:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:51:00,2026-08-15T12:51:00.016Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:52:00,2026-08-15T12:52:00.020Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:53:00,2026-08-15T12:53:00.019Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:54:00,2026-08-15T12:54:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:55:00,2026-08-15T12:55:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:56:00,2026-08-15T12:56:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:57:00,2026-08-15T12:57:00.026Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:58:00,2026-08-15T12:58:00.025Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T07:59:00,2026-08-15T12:59:00.028Z,EMPTY_CLOSED,0,5,15,2,api,
2026-08-15T08:00:00,2026-08-15T13:00:00.003Z,EMPTY_CLOSED,0,5,15,2,api,
